Location,GRIDCODE,FEATUREID,SOURCEFC,AreaSqKM,geometry,
DW-10,473795,23764961,NHDFlowline,12.9492,c(-123.1136, 44.4464)
DW-11,472707,23763075,NHDFlowline,3.5568,c(-123.2833, 44.3119)
DW-13,473955,23763015,NHDFlowline,2.3904,c(-123.2359, 44.5156)
DW-15,472909,23762869,NHDFlowline,5.6538,c(-123.2257, 44.5853)
DW-1524,473788,23765019,NHDFlowline,7.8021,c(-123.194, 44.317)
DW-1525,473839,23765049,NHDFlowline,6.4755,c(-123.1952, 44.3169)
DW-16,472828,23762867,NHDFlowline,25.6464,c(-123.2119, 44.6156)
DW-17,472795,23763073,NHDFlowline,10.818,c(-123.2786, 44.3622)
DW-2,473144,23763371,NHDFlowline,1.3311,c(-123.1405, 44.1621)
DW-3,473649,23765141,NHDFlowline,14.7951,c(-123.1715, 44.1994)
DW-5,472447,23763313,NHDFlowline,37.9719,c(-123.2214, 44.2212)
DW-6,472447,23763313,NHDFlowline,37.9719,c(-123.2194, 44.2578)
DW-7a,472696,23763353,NHDFlowline,3.1617,c(-123.1524, 44.2332)
DW-8,473839,23765049,NHDFlowline,6.4755,c(-123.218, 44.3464)
DW-9,473151,23763749,NHDFlowline,28.1124,c(-123.1587, 44.4204)
GW-1,474128,23765349,NHDFlowline,3.8529,c(-123.0976, 44.1496)
GW-10,473918,23765209,NHDFlowline,8.1261,c(-123.1313, 44.2618)
GW-11,473106,23763469,NHDFlowline,15.3297,c(-123.1776, 44.3119)
GW-12,473761,23765017,NHDFlowline,17.7102,c(-123.176, 44.3734)
GW-13,473241,23763465,NHDFlowline,7.4556,c(-123.2089, 44.4034)
GW-15,473122,23763753,NHDFlowline,30.7323,c(-123.1943, 44.5271)
GW-16,473803,23765113,NHDFlowline,1.5102,c(-123.2094, 44.295)
GW-17,472835,23763311,NHDFlowline,0.3366,c(-123.2461, 44.335)
GW-18,472585,23765025,NHDFlowline,5.8653,c(-123.2526, 44.335)
GW-19,473467,23765635,NHDFlowline,1.2798,c(-123.2365, 44.3641)
GW-20,472795,23763073,NHDFlowline,10.818,c(-123.2791, 44.3617)
GW-21,472722,23763061,NHDFlowline,12.7764,c(-123.279, 44.391)
GW-22,473855,23765753,NHDFlowline,11.1249,c(-123.2419, 44.4349)
GW-24,473722,23764911,NHDFlowline,3.3525,c(-123.2264, 44.4561)
GW-3,472447,23763313,NHDFlowline,37.9719,c(-123.2438, 44.2807)
GW-4D,473036,23763475,NHDFlowline,10.7028,c(-123.0919, 44.1968)
GW-4S,473036,23763475,NHDFlowline,10.7028,c(-123.092, 44.1967)
GW-5,472721,23763361,NHDFlowline,1.5165,c(-123.1612, 44.1913)
GW-7,473585,23765157,NHDFlowline,3.3183,c(-123.2501, 44.2518)
GW-8R,473689,23765255,NHDFlowline,7.8291,c(-123.065, 44.2146)
GW-9,473884,23765265,NHDFlowline,11.142,c(-123.1104, 44.2178)
